time,eng_strain1,eng_strain3,true_strain1,true_strain3,eng_stress1,eng_stress3,true_stress1,true_stress3,eng_strain1_rate,eng_strain3_rate,true_strain1_rate,true_strain3_rate,disp_1,disp_3,force_t,force_i,force_3,vel_1,vel_3,strain_i,strain_r,strain_t,tag,filename,Raw_Incident_Voltage,Raw_Transmitted_Voltage,Adjusted_Incident_Voltage,Adjusted_Reflected_Voltage,Adjusted_Transmitted_Voltage,Export_Date
3.2e-05,-0.000666488667918703,-0.000167145586109901,-0.000666710870226672,-0.000167159556490087,-10006311.9909216,7235083.44128,-9999642.89737202,7233874.12901766,-20.0393193537832,-4.82578958646833,-20.052885298361,-4.82660797881954,-4.23220304128376e-06,-1.06137447179787e-06,-316.892070248935,229.12943072444,-43.8813197622475,-0.127694706631524,-0.0301987205565741,-4.82835349352381e-06,1.34415480664762e-05,-1.19122761796686e-05,,,0.00335704,0.01174963,-0.0078637679047619,0.0218917720952381,-0.0194011012698186,
3.3e-05,-0.000686527987272486,-0.000171971375696369,-0.000686763755525033,-0.000171986164468907,-9612807.74132163,7313783.25968,-9606208.27977094,7312525.49831129,-20.0393193537833,-4.75570632111407,-20.0532874245226,-4.75653561940638,-4.35945271918028e-06,-1.09201823567195e-06,-304.430098603374,231.621792386121,-36.4041531086268,-0.126804649161524,-0.0310888071915742,-4.64097297352381e-06,1.33478578064762e-05,-1.14438187396686e-05,,,0.00350963,0.01129185,-0.0075585879047619,0.0217391820952381,-0.0186381412698186,
3.4e-05,-0.000706567306626269,-0.000176727082017484,-0.000706817042949556,-0.000176742700088313,-9612807.74132163,7785987.32768,-9606015.64564672,7784611.33285896,-20.1094026191376,-4.68562075930302,-20.1238237949001,-4.68645996328253,-4.48670239707681e-06,-1.12221697081102e-06,-304.430098603374,246.576125693362,-28.9269864550061,-0.127694706631524,-0.0293086630865741,-4.17251553352381e-06,1.34415480664762e-05,-1.14438187396686e-05,,,0.00366222,0.01174963,-0.0067956279047619,0.0218917720952381,-0.0186381412698186,
3.5e-05,-0.000726676709245407,-0.000181412702776787,-0.000726940866744456,-0.000181429160051596,-9376703.12852162,7864692.30368,-9369889.29674862,7863265.54859268,-20.2495737427596,-4.86083121914552,-20.2645046607372,-4.86172501378584,-4.61439710370833e-06,-1.15197066263259e-06,-296.952850281176,249.068650692199,-23.9420997944883,-0.127694706631524,-0.0301987205565741,-4.07881913352381e-06,1.34415480664762e-05,-1.11627418196686e-05,,,0.00335704,0.01174963,-0.0066430279047619,0.0218917720952381,-0.0181803612698186,
3.6e-05,-0.000746926282988166,-0.000186273533995932,-0.000747205371405193,-0.000186290885065381,-9140603.67332163,8179496.73488,-9133776.31619565,8177973.11111689,-20.1794904774052,-4.75570402465734,-20.1947782490078,-4.75660136414383,-4.74298189697486e-06,-1.18283694087417e-06,-289.475765296133,259.038260676079,-15.2187523100272,-0.129474879901524,-0.0315338359265741,-3.89143861352381e-06,1.36289347264762e-05,-1.08816710396686e-05,,,0.00335704,0.01174963,-0.0063378479047619,0.0221969620952381,-0.0177225912698186,
3.7e-05,-0.000767105773465572,-0.000191029238020589,-0.000767400149654201,-0.000191047486429525,-9140603.67332163,8179496.73488,-9133591.86347086,8177934.21185135,-20.1094072120511,-4.51041029946047,-20.1250476042526,-4.51128226016146,-4.87112166150638e-06,-1.21303566143074e-06,-289.475765296133,259.038260676079,-15.2187523100272,-0.126804649161524,-0.0288636051865741,-3.61036169352381e-06,1.33478578064762e-05,-1.08816710396686e-05,,,0.00305185,0.01205481,-0.0058800679047619,0.0217391820952381,-0.0177225912698186,
3.8e-05,-0.000787215180677623,-0.00019553964832005,-0.000787525197258453,-0.000195558768689687,-9376703.12852162,8336901.52928,-9369321.64547415,8335271.33448689,-20.3897448663818,-4.44032703410615,-20.4060168300721,-4.44120532599784,-4.9988163973029e-06,-1.24167676683232e-06,-296.952850281176,264.023147336596,-16.4648514722897,-0.128584822431524,-0.0284186056165741,-3.61036169352381e-06,1.35352444664762e-05,-1.11627418196686e-05,,,0.00335704,0.01190222,-0.0058800679047619,0.0220443720952381,-0.0181803612698186,
3.9e-05,-0.000807604925544004,-0.000199979975354156,-0.000807931214088525,-0.000199999974015685,-9376703.12852162,8730405.77888,-9369130.45688967,8728659.87254751,-20.5299113970903,-4.19502871599591,-20.5467159379621,-4.19587660817694,-5.12829127720443e-06,-1.26987284349889e-06,-296.952850281176,276.485118982157,-10.2338656495094,-0.130364937371524,-0.0279735477165742,-3.32928477352381e-06,1.37226249864762e-05,-1.11627418196686e-05,,,0.00335704,0.01236,-0.0054222879047619,0.0223495520952381,-0.0181803612698186,
4e-05,-0.000828134836941095,-0.000204175004070152,-0.000828477930026488,-0.000204195850623862,-9534107.92292163,9045210.21008,-9526212.3960115,9043363.40424854,-20.4598281317359,-4.0548598888306,-20.4769953235033,-4.05569618328809,-5.25865621457595e-06,-1.29651127584547e-06,-301.937736941694,286.454728966037,-7.74150398782848,-0.130364937371524,-0.0253033169765741,-2.95451759352381e-06,1.37226249864762e-05,-1.13501284796686e-05,,,0.00335704,0.0122074,-0.0048119179047619,0.0223495520952381,-0.0184855512698186,
4.1e-05,-0.000848594665072831,-0.000208229863958983,-0.000848954925349991,-0.00020825154680715,-9219303.49172162,9045210.21008,-9211480.03996286,9043326.72718848,-20.6700825207125,-4.01982055261012,-20.6878519320347,-4.02066585653495,-5.38857612321248e-06,-1.32225963613954e-06,-291.968126957814,286.454728966037,-2.75669899588866,-0.129474879901524,-0.0261934036115741,-2.86082733352381e-06,1.36289347264762e-05,-1.09753612996686e-05,,,0.00320444,0.0122074,-0.0046593279047619,0.0221969620952381,-0.0178751812698186,
4.2e-05,-0.000869264747593543,-0.000212249684511593,-0.000869642777282026,-0.000212272212663685,-9612807.74132163,9517414.27808,-9604451.6664267,9515394.20990212,-20.8102490514211,-3.87964942898803,-20.8285713188492,-3.88048058717688,-5.519831147219e-06,-1.34778549664861e-06,-304.430098603374,301.409062273278,-1.51051816504818,-0.133035168111524,-0.0248583174065741,-2.67344681352381e-06,1.40037019064762e-05,-1.14438187396686e-05,,,0.00350963,0.01159703,-0.0043541479047619,0.0228073320952381,-0.0186381412698186,
4.3e-05,-0.000890074996644964,-0.000216129333940581,-0.000890471348600875,-0.000216152693250861,-9455408.10452163,9438714.45968,-9446992.08218472,9436674.47661058,-20.5299113970904,-3.87964942898808,-20.5484119540777,-3.88049564547597,-5.65197622869552e-06,-1.37242127052269e-06,-299.445375280013,298.916700611597,-0.264337334207767,-0.131254994841524,-0.0244132303415741,-2.57975041352381e-06,1.38163152464762e-05,-1.12564382196686e-05,,,0.00366222,0.01190222,-0.0042015479047619,0.0225021420952381,-0.0183329612698186,
4.4e-05,-0.000910604908042055,-0.000220008983369569,-0.000911019760554952,-0.000220033188896337,-9376703.12852162,9123910.02848,-9368164.65663154,9121902.68631028,-20.3897448663817,-4.01982055261009,-20.4085370435375,-4.02071322684429,-5.78234116606705e-06,-1.39705704439676e-06,-296.952850281176,288.947090627718,-4.0028798267291,-0.129474879901524,-0.0248583174065741,-2.76713707352381e-06,1.36289347264762e-05,-1.11627418196686e-05,,,0.00442518,0.01159703,-0.0045067379047619,0.0221969620952381,-0.0181803612698186,
